,City,Lat,Lng,Max Temp (F),Humidity,Wind Speed,Cloudiness,Country,Date
0,punta arenas,-53.15,-70.9167,37.51,81,17.27,20,CL,1635042253
1,barrow,71.2906,-156.7887,30.22,80,13.8,90,US,1635042323
2,eyl,7.9803,49.8164,76.68,79,7.07,6,SO,1635042451
3,bredasdorp,-34.5322,20.0403,49.32,81,4.61,59,ZA,1635042320
4,luderitz,-26.6481,15.1594,56.61,69,16.33,0,NA,1635042436
5,mar del plata,-38.0023,-57.5575,53.01,71,1.99,20,AR,1635042451
6,dikson,73.5069,80.5464,9.25,87,14.74,100,RU,1635042305
7,sisimiut,66.9395,-53.6735,23.49,92,7.34,100,GL,1635042398
8,busselton,-33.65,115.3333,76.05,58,6.35,99,AU,1635042321
9,atuona,-9.8,-139.0333,78.13,78,18.1,15,PF,1635042357
10,pacific grove,36.6177,-121.9166,62.71,79,1.01,90,US,1635042452
11,norman wells,65.282,-126.8329,32.04,80,0.0,75,CA,1635042452
12,bluff,-46.6,168.3333,52.77,92,4.76,100,NZ,1635042453
13,hilo,19.7297,-155.09,80.33,70,8.05,20,US,1635042453
14,faanui,-16.4833,-151.75,78.12,81,13.49,74,PF,1635042453
15,kapaa,22.0752,-159.319,84.18,77,3.0,40,US,1635042454
16,nantucket,41.2835,-70.0995,57.31,65,11.5,1,US,1635042454
17,east london,-33.0153,27.9116,59.05,66,16.62,16,ZA,1635042454
18,ust-nera,64.5667,143.2,6.37,93,5.3,86,RU,1635042455
19,constitucion,-35.3333,-72.4167,50.43,87,13.2,0,CL,1635042285
20,lorengau,-2.0226,147.2712,85.06,70,10.31,98,PG,1635042455
21,mataura,-46.1927,168.8643,67.66,55,1.54,99,NZ,1635042294
22,rikitea,-23.1203,-134.9692,74.91,80,19.13,100,PF,1635042224
23,kaeo,-35.1,173.7833,66.33,98,5.5,63,NZ,1635042420
24,saint-augustin,51.226,-58.6502,40.84,94,12.66,100,CA,1635042456
25,port alfred,-33.5906,26.891,57.25,72,14.85,19,ZA,1635042456
26,torbay,47.6666,-52.7314,59.77,95,12.66,90,CA,1635042322
27,hermanus,-34.4187,19.2345,53.91,70,3.51,26,ZA,1635042254
28,masuguru,-11.3667,38.4167,72.5,79,4.52,92,TZ,1635042457
29,ushuaia,-54.8,-68.3,33.46,86,12.66,75,AR,1635042226
30,sao filipe,14.8961,-24.4956,78.75,70,10.0,7,CV,1635042457
31,lima,-12.0432,-77.0282,62.91,80,14.97,40,PE,1635042344
32,poum,-20.2333,164.0167,74.19,77,6.98,33,NC,1635042457
33,reconquista,-29.15,-59.65,58.26,94,5.82,0,AR,1635042458
34,avarua,-21.2078,-159.775,75.25,53,6.91,75,CK,1635042311
35,morant bay,17.8815,-76.4093,83.82,83,9.51,68,JM,1635042408
36,castro,-24.7911,-50.0119,58.24,97,12.24,100,BR,1635042307
37,port elizabeth,-33.918,25.5701,55.69,76,12.66,0,ZA,1635042458
38,barmer,25.75,71.3833,72.81,79,10.76,0,IN,1635042458
39,chabahar,25.2919,60.643,76.12,79,7.18,0,IR,1635042406
40,szczecinek,53.7079,16.6994,34.79,88,5.03,87,PL,1635042459
41,alofi,-19.0595,-169.9187,78.69,50,19.57,98,NU,1635042326
42,lompoc,34.6391,-120.4579,63.57,83,23.0,1,US,1635042035
43,tofield,53.3668,-112.6686,37.38,76,8.05,100,CA,1635042459
44,san patricio,28.017,-97.5169,78.89,71,9.24,1,US,1635042460
45,bakchar,57.0186,82.0711,45.99,80,13.96,100,RU,1635042460
46,albany,42.6001,-73.9662,47.8,77,1.01,83,US,1635042300
47,vaini,-21.2,-175.2,78.96,73,9.22,20,TO,1635042227
48,kulhudhuffushi,6.6221,73.07,81.54,77,12.12,100,MV,1635042461
49,vrangel,42.7297,133.0839,53.62,44,7.61,0,RU,1635042400
50,ginir,7.1333,40.7,55.02,54,6.38,8,ET,1635042461
51,nikolskoye,59.7035,30.7861,34.39,89,8.99,75,RU,1635042347
52,de aar,-30.6497,24.0123,46.06,68,13.94,0,ZA,1635042462
53,nieuw amsterdam,5.8833,-55.0833,78.03,89,9.37,100,SR,1635042462
54,karratha,-20.7377,116.8463,93.42,19,13.85,9,AU,1635042462
55,kodiak,57.79,-152.4072,43.34,84,24.2,97,US,1635041998
56,repnoye,51.5921,43.1861,39.43,77,8.14,9,RU,1635042463
57,galesong,-5.3166,119.3661,86.02,63,2.1,40,ID,1635042463
58,loanda,-8.8368,13.2343,75.2,83,8.05,75,AO,1635042464
59,visnes,59.3556,5.2242,52.57,87,18.41,75,NO,1635042464
60,masyaf,35.0653,36.3406,58.91,83,2.95,0,SY,1635042464
61,maniitsoq,65.4167,-52.9,26.24,48,5.61,100,GL,1635042311
62,quballat,36.5418,9.6633,59.22,81,6.29,98,TN,1635042465
63,axim,4.8699,-2.2405,76.66,88,2.95,55,GH,1635042465
64,jamestown,42.097,-79.2353,44.29,95,3.0,75,US,1635042214
65,merauke,-8.4667,140.3333,86.95,58,12.8,58,ID,1635042306
66,pisco,-13.7,-76.2167,63.01,82,13.8,48,PE,1635042372
67,pandan,14.0453,124.1694,79.97,85,8.12,100,PH,1635042466
68,cape town,-33.9258,18.4232,55.11,75,6.91,20,ZA,1635042166
69,mandera,3.9366,41.867,78.96,71,7.07,11,KE,1635042423
70,arandis,-22.4167,14.9667,51.46,78,1.32,0,NA,1635042466
71,luanda,-8.8368,13.2343,75.2,83,8.05,75,AO,1635041998
72,porto velho,-8.7619,-63.9039,82.45,74,4.61,0,BR,1635042274
73,hithadhoo,-0.6,73.0833,82.74,71,11.34,100,MV,1635042169
74,narsaq,60.9167,-46.05,34.02,53,4.76,38,GL,1635042426
75,necochea,-38.5473,-58.7368,46.58,62,8.88,0,AR,1635042467
76,ballina,-28.8667,153.5667,87.78,41,9.42,82,AU,1635042207
77,saint george,37.1041,-113.5841,68.59,34,1.99,1,US,1635042467
78,thompson,55.7435,-97.8558,24.96,93,0.0,20,CA,1635042468
79,yellowknife,62.456,-114.3525,41.56,81,17.27,75,CA,1635042246
80,russas,-4.9403,-37.9758,77.92,81,7.07,21,BR,1635042468
81,natalio,-26.7167,-55.0833,63.36,100,3.06,100,PY,1635042468
82,nelson bay,-32.7167,152.15,73.76,64,4.0,100,AU,1635042469
83,new norfolk,-42.7826,147.0587,55.65,55,4.0,100,AU,1635042236
84,ilulissat,69.2167,-51.1,23.02,74,14.97,90,GL,1635042311
85,pangnirtung,66.1451,-65.7125,23.45,85,5.66,98,CA,1635042301
86,vardo,70.3705,31.1107,35.98,66,23.44,73,NO,1635042436
87,jiaojiang,28.6803,121.4428,58.64,88,6.22,100,CN,1635042469
88,georgetown,5.4112,100.3354,85.93,78,3.44,20,MY,1635042227
89,isangel,-19.55,169.2667,80.71,78,9.22,75,VU,1635042360
90,rawson,-43.3002,-65.1023,57.29,29,18.72,3,AR,1635042396
91,cockburn town,21.4612,-71.1419,83.05,69,19.22,93,TC,1635042225
92,broken hill,-31.95,141.4333,65.91,34,12.66,0,AU,1635042470
93,hovd,48.0056,91.6419,35.76,38,5.91,3,MN,1635042306
94,severo-yeniseyskiy,60.3725,93.0408,32.52,96,13.71,100,RU,1635042470
95,lagos,6.5833,3.75,77.32,96,1.43,98,NG,1635042158
96,dakar,14.6937,-17.4441,80.73,83,11.5,40,SN,1635042315
97,meulaboh,4.1363,96.1285,81.09,76,1.48,84,ID,1635042387
98,lebu,-37.6167,-73.65,49.28,93,5.97,13,CL,1635042111
99,mendi,-6.1761,143.6513,74.07,50,5.5,12,PG,1635042471
100,padang,-0.9492,100.3543,80.65,84,4.92,84,ID,1635042413
101,anadyr,64.75,177.4833,1.9,85,8.95,75,RU,1635042471
102,akyab,20.15,92.9,77.59,80,4.97,97,MM,1635042310
103,hobart,-42.8794,147.3294,56.01,60,4.0,75,AU,1635042472
104,mangai,-4.05,19.5333,70.99,99,4.05,100,CD,1635042472
105,rodrigues alves,-7.738,-72.6509,79.34,74,2.51,62,BR,1635042473
106,waycross,31.2136,-82.354,59.47,94,0.0,1,US,1635042250
107,osypenko,46.9136,36.8253,45.84,69,8.3,99,UA,1635042473
108,bengkulu,-3.8004,102.2655,78.62,84,3.85,99,ID,1635042219
109,saldanha,-33.0117,17.9442,48.25,72,8.7,0,ZA,1635042312
110,mahebourg,-20.4081,57.7,75.25,83,11.5,40,MU,1635042318
111,chulucanas,-5.0925,-80.1625,71.91,70,9.44,100,PE,1635042474
112,marawi,7.9986,124.2928,73.65,61,2.93,89,PH,1635042474
113,naze,28.3667,129.4833,70.72,64,20.94,98,JP,1635042258
114,ruteng,-8.6136,120.4721,78.24,53,0.11,25,ID,1635042474
115,yamada,39.4667,141.95,61.5,48,2.62,1,JP,1635042475
116,sitka,57.0531,-135.33,48.09,66,11.5,90,US,1635042391
117,itamaraju,-17.0392,-39.5311,69.76,97,1.66,42,BR,1635042475
118,pitimbu,-7.4706,-34.8086,79.39,78,12.33,76,BR,1635042475
119,kloulklubed,7.0419,134.2556,86.5,71,3.22,11,PW,1635042450
120,lata,40.1629,-8.3327,49.06,67,2.37,0,PT,1635042476
121,bethel,41.3712,-73.414,54.01,81,0.0,90,US,1635042410
122,great yarmouth,52.6083,1.7305,53.46,74,14.56,87,GB,1635042476
123,bandarbeyla,9.4942,50.8122,77.34,76,4.9,40,SO,1635042377
124,shimoda,34.6667,138.95,64.76,62,10.11,92,JP,1635042322
125,senno,59.5336,33.9167,31.26,95,9.75,100,RU,1635042477
126,zeya,53.75,127.2667,43.43,59,2.75,15,RU,1635042477
127,marystown,47.1666,-55.1483,58.86,100,8.79,100,CA,1635042461
128,victoria,22.2855,114.1577,73.04,71,1.99,13,HK,1635042216
129,nanortalik,60.1432,-45.2371,35.33,68,21.21,16,GL,1635042291
130,ancud,-41.8697,-73.8203,47.73,77,8.63,73,CL,1635042477
131,butaritari,3.0707,172.7902,81.21,72,7.23,51,KI,1635042329
132,port blair,11.6667,92.75,84.24,79,2.3,40,IN,1635042478
133,qaanaaq,77.484,-69.3632,-1.07,58,7.78,0,GL,1635042106
134,llodio,43.1432,-2.962,53.91,78,5.75,0,ES,1635042478
135,bichena,10.45,38.2,48.38,64,4.12,6,ET,1635042479
136,concordia,-31.393,-58.0209,59.79,94,5.99,0,AR,1635042479
137,gold coast,-28.0,153.4333,94.33,30,5.99,65,AU,1635042479
138,yining,29.0361,114.5636,63.72,60,2.33,1,CN,1635042480
139,san cristobal,7.7669,-72.225,71.78,99,2.51,100,VE,1635042480
140,college,64.8569,-147.8028,35.58,79,0.0,75,US,1635042480
141,maningrida,-12.0667,134.2667,92.39,47,13.71,14,AU,1635042481
142,codrington,-38.2667,141.9667,53.67,62,14.99,98,AU,1635042167
143,longyearbyen,78.2186,15.6401,15.64,86,6.91,0,SJ,1635042316
144,maiduguri,11.8464,13.1603,78.89,25,2.82,71,NG,1635042481
145,kangaba,11.9333,-8.4167,74.57,84,2.75,29,ML,1635042482
146,ponta delgada,37.7333,-25.6667,65.12,77,9.22,20,PT,1635042483
147,careiro da varzea,-3.2003,-59.8119,79.41,80,4.07,100,BR,1635042483
148,klaksvik,62.2266,-6.589,49.12,90,13.87,100,FO,1635042468
149,tasiilaq,65.6145,-37.6368,32.16,96,7.58,100,GL,1635042335
150,plettenberg bay,-34.0527,23.3716,54.34,78,6.69,48,ZA,1635042483
151,kharp,66.8014,65.8081,24.21,88,12.82,33,RU,1635042441
152,nishihara,26.1842,127.7558,78.08,65,10.36,75,JP,1635042484
153,port macquarie,-31.4333,152.9167,79.9,73,20.71,10,AU,1635042349
154,lerwick,60.1545,-1.1494,51.8,93,21.88,100,GB,1635042484
155,guerrero negro,27.9769,-114.0611,66.83,79,15.75,4,MX,1635042472
156,coahuayana,18.7333,-103.6833,83.68,88,2.68,100,MX,1635042036
157,bedford,52.1346,-0.4663,53.94,75,11.18,96,GB,1635042485
158,grao mogol,-16.5594,-42.8897,64.87,95,1.97,20,BR,1635042485
159,tiksi,71.6872,128.8694,2.44,95,10.07,100,RU,1635042036
160,christchurch,-43.5333,172.6333,73.47,63,7.0,86,NZ,1635042468
161,tapejara,-28.0681,-52.0139,57.2,99,3.02,100,BR,1635042485
162,valencia,39.3333,-0.8333,55.6,92,2.01,0,ES,1635042486
163,laguna,38.421,-121.4238,62.6,76,6.91,90,US,1635042486
164,khatanga,71.9667,102.5,7.45,92,16.04,97,RU,1635042255
165,puerto ayora,-0.7393,-90.3518,69.08,89,7.94,85,EC,1635042487
166,cortland,42.6001,-76.083,43.29,91,2.51,62,US,1635042487
167,sarangani,5.4033,125.4636,83.66,72,7.96,100,PH,1635042487
168,liverpool,53.4106,-2.9779,53.55,77,7.0,75,GB,1635042363
169,bulawayo,-20.15,28.5833,73.29,38,4.43,72,ZW,1635042488
170,kavieng,-2.5744,150.7967,85.96,67,12.35,17,PG,1635042296
171,parsabad,39.6482,47.9174,46.72,93,6.91,0,IR,1635042488
172,pasighat,28.0667,95.3333,75.83,71,0.47,2,IN,1635042489
173,newport,51.5877,-2.9984,55.08,74,19.39,100,GB,1635042489
174,sao joao da barra,-21.6403,-41.0511,72.63,89,24.07,4,BR,1635042490
175,bambous virieux,-20.3428,57.7575,75.22,83,11.5,40,MU,1635042490
176,aklavik,68.2191,-135.0107,29.23,96,1.9,75,CA,1635042309
177,beringovskiy,63.05,179.3167,13.21,73,7.2,2,RU,1635042434
178,la ciotat,43.1748,5.6045,61.81,63,6.64,0,FR,1635042490
179,kavaratti,10.5669,72.642,80.46,77,1.95,66,IN,1635042491
180,sao gabriel da cachoeira,-0.1303,-67.0892,74.89,93,0.83,48,BR,1635042491
181,poltavka,54.3663,71.7632,44.01,89,11.61,36,RU,1635042491
182,vao,-22.6667,167.4833,72.52,74,13.31,3,NC,1635042384
183,colesberg,-30.72,25.0972,44.47,74,16.51,0,ZA,1635042492
184,port lincoln,-34.7333,135.8667,60.3,59,11.32,15,AU,1635042471
185,amberley,39.2048,-84.428,55.09,87,1.01,90,US,1635042492
186,auki,-8.7676,160.7034,86.13,68,7.05,38,SB,1635042493
187,flin flon,54.7682,-101.865,37.72,70,11.14,94,CA,1635042493
188,hasaki,35.7333,140.8333,68.29,47,5.48,27,JP,1635042203
189,faya,18.3851,42.4509,55.51,29,4.52,6,SA,1635042359
190,atar,20.5169,-13.0499,78.26,19,7.47,0,MR,1635042334
191,iqaluit,63.7506,-68.5145,31.73,80,17.0,90,CA,1635042138
192,saint-philippe,-21.3585,55.7679,73.22,84,13.91,40,RE,1635042342
193,henties bay,-22.116,14.2845,57.85,93,8.75,23,NA,1635042494
194,te anau,-45.4167,167.7167,55.99,85,1.1,100,NZ,1635042494
195,ponta do sol,32.6667,-17.1,70.43,64,5.95,15,PT,1635042494
196,tucuman,-26.8241,-65.2226,68.0,56,4.61,1,AR,1635042495
197,mayumba,-3.432,10.6554,76.5,88,3.96,100,GA,1635042495
198,sioux lookout,50.1001,-91.917,35.98,93,4.61,75,CA,1635042495
199,ukiah,39.1502,-123.2078,57.43,93,9.22,90,US,1635042496
200,bonavista,48.6499,-53.1147,56.12,100,6.91,100,CA,1635042369
201,kaitangata,-46.2817,169.8464,59.81,68,5.35,95,NZ,1635042199
202,viedma,-40.8135,-62.9967,46.69,26,10.74,0,AR,1635042496
203,buraydah,26.326,43.975,68.45,21,9.51,0,SA,1635042497
204,banda aceh,5.5577,95.3222,81.37,75,0.98,100,ID,1635042497
205,alpena,45.0617,-83.4327,41.32,88,1.01,40,US,1635042316
206,manokwari,-0.8667,134.0833,83.5,69,4.54,56,ID,1635042497
207,tuktoyaktuk,69.4541,-133.0374,30.2,86,4.61,90,CA,1635042378
208,jiangyou,31.7667,104.7167,60.66,71,1.92,33,CN,1635042498
209,portland,45.5234,-122.6762,55.62,95,4.0,75,US,1635042452
210,bukachacha,52.9833,116.9167,38.44,60,2.86,85,RU,1635042498
211,kahului,20.8947,-156.47,82.42,70,23.02,1,US,1635042431
212,goksun,38.021,36.4973,43.84,25,3.8,0,TR,1635042499
213,zhanaozen,43.3,52.8,47.82,27,10.11,19,KZ,1635042420
214,omsukchan,62.5333,155.8,4.78,88,3.36,33,RU,1635042499
215,clyde river,70.4692,-68.5914,17.74,83,11.97,93,CA,1635042500
216,tondano,1.3038,124.9112,82.49,59,2.15,100,ID,1635042500
217,lisakovsk,52.5369,62.4936,47.95,89,9.48,100,KZ,1635042500
218,nalut,30.3333,10.85,69.12,58,7.72,100,LY,1635042501
219,vila franca do campo,37.7167,-25.4333,64.81,83,5.66,98,PT,1635042501
220,sinnamary,5.3833,-52.95,78.42,87,10.09,90,GF,1635042501
221,ostrovnoy,68.0531,39.5131,25.93,89,18.01,95,RU,1635042384
222,zabid,14.1951,43.3152,83.39,64,1.52,6,YE,1635042502
223,saint anthony,45.0205,-93.218,44.22,75,0.0,1,US,1635042309
224,beloha,-25.1667,45.05,67.32,81,3.67,0,MG,1635042502
225,petropavlovsk-kamchatskiy,53.0452,158.6483,43.39,61,6.71,75,RU,1635042444
226,cherskiy,68.75,161.3,-4.09,100,4.18,90,RU,1635042298
227,pljevlja,43.3333,19.3333,40.46,96,2.89,100,ME,1635042502
228,taywarah,33.35,64.4167,33.08,31,3.18,0,AF,1635042503
229,frontera,26.9333,-101.45,78.94,65,6.49,0,MX,1635042503
230,nicoya,10.1483,-85.452,72.95,92,1.99,100,CR,1635042504
231,porto de moz,-1.7483,-52.2383,80.13,74,2.91,100,BR,1635042504
232,souillac,-20.5167,57.5167,75.36,83,11.5,40,MU,1635042335
233,opuwo,-18.0607,13.84,62.98,29,0.74,8,NA,1635042367
234,balkanabat,39.5108,54.3671,53.55,29,0.49,0,TM,1635042504
235,hamilton,39.1834,-84.5333,55.78,88,0.0,90,US,1635042258
236,raffadali,37.4036,13.5331,63.99,80,13.96,100,IT,1635042505
237,sombrio,-29.1139,-49.6167,67.93,93,4.38,100,BR,1635042505
238,san quintin,30.4833,-115.95,59.43,74,20.42,7,MX,1635042308
239,mollendo,-17.0231,-72.0147,61.5,81,7.14,97,PE,1635042505
240,manta,-0.95,-80.7333,74.98,83,8.05,20,EC,1635042506
241,savannah bight,16.45,-85.85,82.0,79,22.19,78,HN,1635042506
242,soure,-0.7167,-48.5233,80.85,81,10.02,100,BR,1635042506
243,hun,29.1268,15.9477,79.59,21,15.23,100,LY,1635042507
244,chala,-7.5833,31.2667,65.64,43,2.37,79,TZ,1635042507
245,saskylakh,71.9167,114.0833,6.8,94,14.0,100,RU,1635042096
246,agadir,30.4202,-9.5982,57.65,81,5.37,20,MA,1635042491
247,sola,-13.8833,167.55,81.12,76,16.11,10,VU,1635042333
248,georgiyevka,43.0369,74.7114,30.24,93,2.24,0,KZ,1635042508
249,escanaba,45.7453,-87.0646,46.71,72,3.44,90,US,1635042152
250,atherton,53.5237,-2.4935,53.73,77,5.99,97,GB,1635042508
251,kautokeino,69.0125,23.0412,8.51,87,3.98,27,NO,1635042413
252,ladario,-19.0047,-57.6017,95.79,33,10.25,86,BR,1635042508
253,nanakuli,21.3906,-158.1547,84.15,52,9.22,1,US,1635042509
254,tres pontas,-21.3667,-45.5125,68.16,62,4.88,83,BR,1635042509
255,monastyrshchina,54.3496,31.838,37.67,88,12.86,99,RU,1635042510
256,pasni,25.2631,63.471,76.98,25,12.86,0,PK,1635042510
257,olafsvik,64.8945,-23.7142,45.1,83,12.35,100,IS,1635042341
258,lasa,46.6166,10.7002,38.62,48,1.7,2,IT,1635042238
259,taian,36.1853,117.12,57.96,50,3.96,93,CN,1635042510
260,krasnoselkup,65.7,82.4667,32.38,99,11.54,100,RU,1635042511
261,zarand,30.8127,56.564,53.35,29,3.91,5,IR,1635042511
262,abu dhabi,24.4667,54.3667,80.71,83,3.44,20,AE,1635042512
263,airai,-8.9266,125.4092,79.95,34,1.59,32,TL,1635042329
264,mangrol,21.1167,70.1167,80.11,64,9.35,27,IN,1635042512
265,chulman,56.8479,124.9104,31.66,72,0.72,100,RU,1635042512
266,gravelbourg,49.8834,-106.5512,41.27,54,15.12,100,CA,1635042513
267,baghmara,23.795,86.2085,73.47,66,2.84,8,IN,1635042513
268,svetlyy,54.675,20.1347,44.65,65,9.24,97,RU,1635042513
269,tianpeng,30.9866,103.9393,60.64,76,2.75,99,CN,1635042514
270,esperance,-33.8667,121.9,71.13,41,14.54,5,AU,1635042104
271,acapulco,16.8634,-99.8901,73.22,94,12.66,90,MX,1635042257
272,lagoa,39.05,-27.9833,66.88,59,12.37,94,PT,1635042448
273,lavrentiya,65.5833,-171.0,24.66,83,9.51,100,RU,1635042427
274,emporia,38.4039,-96.1817,64.6,94,12.66,90,US,1635042515
275,atambua,-9.1061,124.8925,87.73,52,4.56,32,ID,1635042515
276,dehloran,32.6941,47.2679,74.3,24,6.96,11,IR,1635042515
277,grand gaube,-20.0064,57.6608,75.38,75,5.99,85,MU,1635042515
278,vostok,46.4856,135.8833,45.95,46,7.58,0,RU,1635042296
279,areosa,41.7178,-8.8571,57.31,77,2.46,0,PT,1635042516
280,avera,33.194,-82.5271,60.71,62,4.07,0,US,1635042401
281,ambatondrazaka,-17.8333,48.4167,65.03,96,1.39,4,MG,1635042516
282,adrar,20.5022,-10.0711,78.24,16,9.17,19,MR,1635042345
283,ribeira grande,38.5167,-28.7,67.12,64,11.21,54,PT,1635042517
284,bathsheba,13.2167,-59.5167,83.01,69,20.71,20,BB,1635042382
285,chinsali,-10.5414,32.0816,67.68,42,2.39,74,ZM,1635042517
286,iskateley,67.6803,53.1512,25.11,90,7.78,74,RU,1635042517
287,mount gambier,-37.8333,140.7667,57.11,58,12.66,90,AU,1635042518
288,yerbogachen,61.2767,108.0108,32.0,74,12.33,99,RU,1635042330
289,pevek,69.7008,170.3133,9.32,92,5.97,100,RU,1635042115
290,nizwa,22.9333,57.5333,72.93,62,1.03,0,OM,1635042518
291,ramsar,36.9226,50.6426,58.44,88,2.3,40,IR,1635042519
292,uruzgan,32.8333,66.0,42.04,24,1.86,0,AF,1635042519
293,hachinohe,40.5,141.5,64.81,53,12.97,1,JP,1635042519
294,turukhansk,65.8167,87.9833,32.36,99,10.67,100,RU,1635042520
295,belaya gora,68.5333,146.4167,-4.16,87,4.12,82,RU,1635042520
