,City,Lat,Lng,Max Temp (F),Humidity,Wind Speed,Cloudiness,Country,Date
296,asau,46.4333,26.4,43.75,65,1.59,96,RO,1635042298
297,labuhan,-6.8844,112.2051,87.19,61,2.89,57,ID,1635042520
298,talnakh,69.4865,88.3972,22.86,91,6.35,100,RU,1635042419
299,takoradi,4.8845,-1.7554,76.53,88,3.89,72,GH,1635042393
300,texarkana,33.4251,-94.0477,79.02,68,7.0,1,US,1635042521
301,kalmunai,7.4167,81.8167,79.61,78,3.8,93,LK,1635042521
302,itoman,26.1247,127.6694,78.82,63,12.66,75,JP,1635042521
303,tokur,53.1333,132.9,34.93,83,4.07,57,RU,1635042522
304,santo antonio do sudoeste,-26.0736,-53.7253,61.93,99,3.53,100,BR,1635042522
305,geraldton,-28.7667,114.6,84.61,39,10.36,0,AU,1635042283
306,yeppoon,-23.1333,150.7333,91.18,69,12.15,99,AU,1635042522
307,grafton,42.207,-71.6856,49.84,72,6.91,40,US,1635042523
308,begoro,6.3871,-0.3774,69.22,97,2.13,96,GH,1635042523
309,la ronge,55.1001,-105.2842,37.65,70,17.27,75,CA,1635042523
310,balkhash,46.844,74.9804,30.81,100,8.95,0,KZ,1635042524
311,tacna,-18.0056,-70.2483,52.7,85,0.72,17,PE,1635042319
312,inirida,3.8653,-67.9239,74.26,98,1.88,100,CO,1635042524
313,saint-joseph,-21.3667,55.6167,72.21,82,7.36,19,RE,1635042430
314,diapaga,12.0708,1.7889,77.16,69,3.42,95,BF,1635042524
315,mpulungu,-8.7623,31.1141,75.58,56,3.83,100,ZM,1635042525
316,carnarvon,-24.8667,113.6333,75.27,69,14.97,0,AU,1635042166
317,lahij,13.1667,44.5833,75.78,75,3.49,7,YE,1635042525
318,turayf,31.6725,38.6637,53.85,47,0.0,0,SA,1635042526
319,ouegoa,-20.35,164.4333,79.63,65,5.64,15,NC,1635042526
320,sergeyevka,53.88,67.4158,45.34,90,12.1,96,KZ,1635042526
321,tynset,62.2759,10.7824,35.22,91,9.55,100,NO,1635042527
322,yulara,-25.2406,130.9889,80.44,19,20.71,3,AU,1635042369
323,kasama,-10.2129,31.1808,69.4,45,2.95,83,ZM,1635042527
324,progreso,21.2833,-89.6667,75.11,82,11.92,78,MX,1635042528
325,yumen,40.2833,97.2,42.91,33,7.05,67,CN,1635042447
326,malanje,-9.5402,16.341,65.44,96,1.39,100,AO,1635042365
327,gisborne,-38.6533,178.0042,65.95,60,4.29,100,NZ,1635042528
328,lida,53.8833,25.2997,36.19,90,10.98,43,BY,1635042528
329,svetlogorsk,52.6333,29.7333,37.36,93,10.45,67,BY,1635042381
330,mersing,2.4312,103.8405,85.91,70,3.44,40,MY,1635042529
331,chokurdakh,70.6333,147.9167,-1.8,97,6.08,100,RU,1635042178
332,vallenar,-28.5708,-70.7581,62.02,53,3.06,0,CL,1635042529
333,brezice,45.9033,15.5911,46.47,100,2.3,90,SI,1635042529
334,san buenaventura,27.0833,-101.5333,80.11,65,3.94,1,MX,1635042530
335,scarborough,54.2797,-0.4044,52.54,78,8.01,100,GB,1635042407
336,sorland,67.667,12.6934,42.48,68,7.05,100,NO,1635042386
337,sindor,62.8629,51.8905,27.32,90,2.48,29,RU,1635042530
338,carauari,-4.8828,-66.8958,78.8,85,2.08,100,BR,1635042531
339,alto piquiri,-24.0281,-53.4406,64.63,97,9.66,100,BR,1635042531
340,murray bridge,-35.1167,139.2667,67.42,51,11.5,76,AU,1635042531
341,vestmannaeyjar,63.4427,-20.2734,47.16,84,16.44,100,IS,1635042532
342,kodarma,24.4667,85.6,71.2,69,1.39,0,IN,1635042532
343,cornwall,45.0181,-74.7281,39.85,86,0.0,1,CA,1635042533
344,annigeri,15.4333,75.4333,71.78,86,3.36,100,IN,1635042533
345,malartic,48.1335,-78.1328,39.31,89,4.68,82,CA,1635042533
346,tripoli,32.8752,13.1875,75.99,60,9.17,100,LY,1635042534
347,inta,66.0317,60.1659,22.37,95,12.66,86,RU,1635042534
348,kruisfontein,-34.0033,24.7314,50.79,75,8.01,5,ZA,1635042328
349,nguruka,-5.1092,31.0419,69.89,69,0.89,40,TZ,1635042534
350,funadhoo,6.15,73.2667,82.06,73,12.24,93,MV,1635042535
351,palana,59.1167,159.9667,28.53,73,5.44,100,RU,1635042535
352,dudinka,69.4058,86.1778,23.76,91,8.34,99,RU,1635042535
353,irbil,36.1926,44.0106,55.22,30,0.0,0,IQ,1635042536
354,baykit,61.67,96.37,34.57,96,8.88,100,RU,1635042469
355,sechura,-5.5569,-80.8222,65.95,78,15.77,96,PE,1635042536
356,ravar,31.2656,56.8055,54.57,21,0.96,0,IR,1635042536
357,upernavik,72.7868,-56.1549,18.27,90,13.53,100,GL,1635042339
358,fortuna,40.5982,-124.1573,58.98,90,1.01,90,US,1635042317
359,hearst,49.6835,-83.6665,34.05,98,5.44,100,CA,1635042537
360,kushnarenkovo,55.105,55.3508,44.98,94,3.42,100,RU,1635042537
361,pundaguitan,6.3711,126.1689,83.21,71,2.68,100,PH,1635042538
362,ibra,22.6906,58.5334,71.94,74,1.45,0,OM,1635042538
363,ahipara,-35.1667,173.1667,65.14,79,7.9,25,NZ,1635042538
364,terney,45.0503,136.6092,55.35,42,5.79,4,RU,1635042538
365,kurihashi,36.1333,139.7,65.14,35,1.77,0,JP,1635042539
366,provideniya,64.3833,-173.3,25.07,78,8.25,100,RU,1635042381
367,evanston,42.0411,-87.6901,48.2,68,0.0,20,US,1635042460
368,gat,31.61,34.7642,66.81,100,2.44,3,IL,1635042539
369,bonfim,3.0833,-59.95,83.05,63,5.21,100,BR,1635042349
370,khilok,51.3674,110.4676,38.21,52,2.75,100,RU,1635042540
371,yanam,16.7333,82.2167,81.0,84,3.49,99,IN,1635042540
372,matagami,49.7502,-77.6328,33.91,100,2.3,75,CA,1635042408
373,sabha,27.0377,14.4283,76.78,20,14.94,57,LY,1635042432
374,north platte,41.1239,-100.7654,49.98,90,10.36,90,US,1635042541
375,omboue,-1.5746,9.2618,75.16,91,3.24,100,GA,1635042541
376,carndonagh,55.25,-7.2667,53.55,95,10.96,100,IE,1635042542
377,abalak,58.1286,68.5944,38.86,88,10.36,7,RU,1635042543
378,huarmey,-10.0681,-78.1522,63.55,85,10.92,30,PE,1635042216
379,zhigansk,66.7697,123.3711,25.02,90,12.17,100,RU,1635042471
380,emilio carranza,19.9711,-96.6114,76.48,86,2.55,100,MX,1635042543
381,eureka,40.8021,-124.1637,59.25,83,4.0,100,US,1635042543
382,ilebo,-4.3167,20.5833,71.1,99,1.23,97,CD,1635042544
383,darhan,49.4867,105.9228,39.92,45,3.56,100,MN,1635042544
384,bovolone,45.2548,11.1263,56.64,73,7.92,9,IT,1635042544
385,povenets,62.8487,34.8262,32.11,87,10.78,100,RU,1635042545
386,suntar,62.1444,117.6319,35.62,71,10.0,15,RU,1635042545
387,tirukkoyilur,11.95,79.2,78.55,82,3.11,100,IN,1635042545
388,placido de castro,-10.3353,-67.1856,82.63,65,2.62,99,BR,1635042546
389,sesheke,-17.4759,24.2968,73.08,57,3.31,80,ZM,1635042546
390,saint-pierre,-21.3393,55.4781,73.29,78,6.91,75,RE,1635042407
391,romitan,39.9343,64.3814,37.35,75,6.91,0,UZ,1635042546
392,den chai,17.9837,100.0522,83.39,86,2.89,61,TH,1635042547
393,saint-francois,46.4154,3.9054,32.68,100,0.0,0,FR,1635042547
394,villacarrillo,38.1156,-3.0848,50.99,65,1.88,61,ES,1635042547
395,bouca,6.5105,18.2733,68.77,98,2.75,23,CF,1635042548
396,egvekinot,66.3167,-179.1667,11.43,85,6.2,100,RU,1635042548
397,vega de alatorre,20.0333,-96.6333,77.13,85,2.01,99,MX,1635042548
398,leshukonskoye,64.8989,45.7622,25.41,94,3.91,100,RU,1635042323
399,northam,51.0333,-4.2167,56.01,78,20.85,100,GB,1635042549
400,fare,-16.7,-151.0167,77.29,84,15.5,94,PF,1635042405
401,basco,20.4487,121.9702,80.92,77,19.69,33,PH,1635042342
402,tabou,4.423,-7.3528,76.95,88,5.26,80,CI,1635042549
403,siilinjarvi,63.0833,27.6667,24.82,93,8.05,0,FI,1635042550
404,piacabucu,-10.4056,-36.4344,78.3,86,12.46,45,BR,1635042550
405,kotdwara,29.75,78.5333,66.34,71,5.61,0,IN,1635042550
406,harper,4.375,-7.7169,76.95,88,5.99,88,LR,1635042463
407,huilong,31.8111,121.655,68.99,54,6.87,93,CN,1635042551
408,fershampenuaz,53.5202,59.8117,44.56,90,8.28,100,RU,1635042551
409,ongandjera,-17.8833,15.0667,61.99,26,9.01,7,NA,1635042551
410,boyuibe,-20.4167,-63.2833,66.38,80,16.53,99,BO,1635042552
411,tromso,69.6496,18.957,32.02,86,11.5,100,NO,1635042505
412,belmonte,-15.8631,-38.8828,75.7,92,4.68,70,BR,1635042366
413,kodinsk,58.6881,99.1844,35.83,96,12.39,100,RU,1635042552
414,sao lourenco do sul,-31.3653,-51.9783,58.89,93,13.67,74,BR,1635042552
415,severo-kurilsk,50.6789,156.125,40.66,86,11.41,73,RU,1635042087
416,gojra,31.1487,72.6866,64.67,88,8.88,1,PK,1635042411
417,jinchang,38.4953,102.1739,48.49,56,2.8,63,CN,1635042553
418,katsuura,35.1333,140.3,62.71,52,6.15,15,JP,1635042334
419,isiro,2.7739,27.616,65.53,98,1.79,56,CD,1635042553
420,margate,51.3813,1.3862,55.9,73,7.0,10,GB,1635042415
421,kirakira,-10.4544,161.9205,87.08,67,12.86,7,SB,1635042554
422,aswan,24.0934,32.907,67.3,42,6.91,0,EG,1635042359
423,udachnyy,66.4167,112.4,26.44,93,20.42,100,RU,1635042554
424,bahar,34.9072,48.4414,44.85,42,3.91,28,IR,1635042555
425,minden,52.2833,8.9167,41.92,94,6.11,70,DE,1635042221
426,kiruna,67.8557,20.2251,9.52,85,13.8,100,SE,1635042555
427,cabo san lucas,22.8909,-109.9124,82.62,75,4.0,1,MX,1635042555
428,touros,-5.1989,-35.4608,79.7,81,12.84,65,BR,1635042346
429,garowe,8.4054,48.4845,73.02,78,8.34,26,SO,1635042556
430,coolum beach,-26.5333,153.1,97.07,27,2.51,51,AU,1635042556
431,urumqi,43.801,87.6005,34.75,93,2.24,0,CN,1635042039
432,praia da vitoria,38.7333,-27.0667,63.75,88,10.85,75,PT,1635042557
433,monticello,45.3055,-93.7941,42.8,81,0.0,20,US,1635042557
434,hay river,60.8156,-115.7999,40.98,81,13.8,40,CA,1635042557
435,freeport,40.6576,-73.5832,57.18,76,1.99,90,US,1635041924
436,kysyl-syr,63.8986,122.7617,33.91,89,11.14,100,RU,1635042558
437,zinder,13.8072,8.9881,83.48,18,8.43,42,NE,1635042558
438,berlevag,70.8578,29.0864,37.04,64,22.66,98,NO,1635042344
439,altamira,-3.2033,-52.2064,74.21,91,1.86,46,BR,1635042558
440,hambantota,6.1241,81.1185,79.14,94,9.22,20,LK,1635042304
441,aparecida do taboado,-20.0867,-51.0936,82.96,47,12.37,24,BR,1635042559
442,yurty,56.0498,97.6348,38.75,84,13.33,100,RU,1635042559
443,tuatapere,-46.1333,167.6833,58.46,80,3.4,100,NZ,1635042351
444,hofn,64.2539,-15.2082,45.01,74,2.82,100,IS,1635042465
445,cuamba,-14.8031,36.5372,73.49,41,4.56,98,MZ,1635042560
446,tura,25.5198,90.2201,72.28,71,1.34,25,IN,1635042433
447,dondo,-19.6094,34.7431,70.66,81,5.32,0,MZ,1635042560
448,mayor pablo lagerenza,-19.9309,-60.7718,74.23,82,15.61,100,PY,1635042560
449,coihaique,-45.5752,-72.0662,42.75,75,4.61,40,CL,1635042420
450,westport,41.1415,-73.3579,56.32,70,4.0,90,US,1635042438
451,nemuro,43.3236,145.575,55.83,64,16.2,16,JP,1635042215
452,norcasia,5.5778,-74.8852,70.74,97,2.59,100,CO,1635042561
453,am timan,11.0297,20.2827,74.12,82,3.83,47,TD,1635042561
454,yerofey pavlovich,53.9667,121.9667,38.97,66,2.91,60,RU,1635042562
455,zitlala,17.6333,-99.0833,55.83,97,2.89,100,MX,1635042562
456,payo,-3.7508,103.6372,82.54,77,0.98,98,ID,1635042562
457,arraial do cabo,-22.9661,-42.0278,70.95,89,32.26,0,BR,1635042521
458,puerto carreno,6.189,-67.4859,78.6,82,5.97,100,CO,1635042430
459,pinar del rio,22.4175,-83.6981,74.88,89,4.25,99,CU,1635042563
460,caravelas,-17.7125,-39.2481,75.43,85,3.38,97,BR,1635042286
461,lagoa santa,-19.6272,-43.8897,74.37,68,4.61,0,BR,1635042440
462,sol-iletsk,51.1631,54.9918,49.84,85,15.95,100,RU,1635042563
463,sibolga,1.7427,98.7792,78.4,85,1.32,99,ID,1635042564
464,surt,31.2089,16.5887,78.24,37,23.82,100,LY,1635042564
465,easton,40.6884,-75.2207,52.27,88,3.44,75,US,1635042436
466,haapiti,-17.5667,-149.8667,80.33,84,17.16,98,PF,1635042565
467,yazd,31.8972,54.3675,48.31,27,4.61,0,IR,1635042510
468,tevriz,57.509,72.4042,40.84,80,8.99,10,RU,1635042565
469,cidreira,-30.1811,-50.2056,64.92,93,10.18,100,BR,1635042336
470,shaki,41.0833,47.1667,47.19,60,4.05,0,AZ,1635042566
471,novotroitskaya,45.3267,41.5253,53.55,92,0.22,100,RU,1635042566
472,borogontsy,62.6683,131.1683,24.82,96,5.44,100,RU,1635042566
473,rivera,-30.9053,-55.5508,55.99,96,9.98,62,UY,1635042567
474,stokmarknes,68.5646,14.9108,37.49,83,6.4,100,NO,1635042567
475,camacha,33.0833,-16.3333,67.42,60,8.05,75,PT,1635042446
476,komsomolskiy,40.4272,71.7189,38.62,70,4.61,0,UZ,1635042403
477,ati,13.2154,18.3353,84.96,23,11.97,8,TD,1635042568
478,kalashnikovo,57.2824,35.2262,36.14,95,6.93,100,RU,1635042568
479,nouadhibou,20.931,-17.0347,67.73,83,17.81,0,MR,1635042569
480,jaltenango,15.8719,-92.7247,69.91,97,3.71,64,MX,1635042569
481,chuy,-33.6971,-53.4616,54.63,95,6.87,56,UY,1635042411
482,morro bay,35.3658,-120.8499,64.74,86,10.02,100,US,1635042569
483,sao felix do xingu,-6.6447,-51.995,73.13,92,1.25,89,BR,1635042570
484,maragogi,-9.0122,-35.2225,78.01,85,10.31,26,BR,1635042570
485,gavle,60.6745,17.1417,34.5,87,1.01,100,SE,1635042571
486,salekhard,66.53,66.6019,26.08,81,18.77,16,RU,1635042571
487,quatre cocos,-20.2078,57.7625,75.09,72,11.1,88,MU,1635042429
488,simao,22.7886,100.9748,61.05,96,1.41,100,CN,1635042571
489,deputatskiy,69.3,139.9,-0.33,97,3.02,100,RU,1635042400
490,suleja,9.1758,7.1808,74.39,89,1.9,98,NG,1635042572
491,myski,53.709,87.8014,38.07,93,13.65,100,RU,1635042572
492,shache,38.4167,77.2406,46.63,35,1.66,5,CN,1635042572
493,sainte-marie,-20.8968,55.5496,73.78,86,13.8,0,RE,1635042573
494,shu,43.5983,73.7614,40.23,58,1.01,0,KZ,1635042573
495,namatanai,-3.6667,152.4333,84.78,70,7.36,91,PG,1635042354
496,sur,22.5667,59.5289,79.9,64,8.37,2,OM,1635042338
497,salalah,17.0151,54.0924,73.49,68,5.75,0,OM,1635042161
498,angoche,-16.2325,39.9086,72.18,87,8.34,11,MZ,1635042573
499,lao cai,22.4833,103.95,67.44,80,1.63,98,VN,1635042574
500,bud,39.447,-86.1758,54.7,82,5.53,100,US,1635042415
501,linxia,35.6003,103.2064,48.11,68,0.67,100,CN,1635042302
502,saint-denis,48.9167,2.3333,43.14,91,4.61,0,FR,1635042353
503,pervomayskiy,53.2485,40.2871,33.13,71,9.8,33,RU,1635042574
504,talcahuano,-36.7167,-73.1167,51.48,87,10.36,0,CL,1635042315
505,aksarka,66.5606,67.7975,26.22,83,17.22,100,RU,1635042342
506,the valley,18.217,-63.0578,82.26,70,17.36,38,AI,1635042575
507,dubove,48.1721,23.8895,31.82,82,2.62,25,UA,1635042575
508,kerema,-7.9631,145.7785,84.06,72,7.61,71,PG,1635042575
509,san ignacio,17.1561,-89.0714,77.14,94,0.0,20,BZ,1635042576
510,yazykovo,55.2199,56.1353,42.62,94,7.76,100,RU,1635042576
511,mareeba,-17.0,145.4333,89.31,40,11.12,9,AU,1635042576
512,kropotkin,45.4375,40.5756,54.55,88,5.08,100,RU,1635042577
513,tongchuan,35.0806,109.0897,52.43,69,2.95,5,CN,1635042446
514,zhangye,38.9342,100.4517,47.57,49,7.58,50,CN,1635042577
515,claresholm,50.0333,-113.5852,46.65,81,6.91,100,CA,1635042577
516,kuusamo,65.9667,29.1833,10.44,92,2.3,20,FI,1635042417
517,pimentel,-6.8367,-79.9342,63.52,86,13.06,40,PE,1635042578
518,atasu,48.6814,71.6433,36.23,53,9.15,0,KZ,1635042578
519,bridlington,54.0831,-0.1919,52.9,75,22.26,100,GB,1635042578
520,thinadhoo,0.5333,72.9333,82.53,74,11.59,77,MV,1635042321
521,itarema,-2.9248,-39.9167,79.79,80,12.35,69,BR,1635042292
522,kemin,42.7846,75.6892,44.4,92,10.11,0,KG,1635042579
523,hualmay,-11.0964,-77.6139,62.82,83,10.78,34,PE,1635042396
524,vanavara,60.34,102.2797,32.2,94,12.86,100,RU,1635042579
525,brae,60.3964,-1.353,51.71,93,18.34,100,GB,1635042579
526,dhidhdhoo,6.8833,73.1,81.55,78,11.83,100,MV,1635042580
527,bilibino,68.0546,166.4372,-6.95,99,1.12,89,RU,1635042580
528,lampang,18.3333,99.5,82.31,74,0.0,20,TH,1635042580
529,karpathos,35.507,27.2132,67.96,83,8.05,0,GR,1635042581
530,coquimbo,-29.9533,-71.3436,55.13,76,1.14,0,CL,1635042502
531,tutoia,-2.7619,-42.2744,80.04,86,9.89,100,BR,1635042581
532,conakry,9.538,-13.6773,75.36,78,3.65,100,GN,1635042582
533,puerto leguizamo,-0.1934,-74.7819,75.99,81,2.21,51,CO,1635042582
534,sanandaj,35.3144,46.9923,46.96,37,2.15,0,IR,1635042582
535,wenchi,7.7392,-2.1046,70.75,97,3.44,52,GH,1635042583
536,capelinha,-17.6914,-42.5158,63.73,93,2.86,39,BR,1635042583
537,twentynine palms,34.1356,-116.0542,71.15,31,3.0,3,US,1635042583
538,mitu,1.1983,-70.1733,73.04,98,2.77,70,CO,1635042584
539,mildura,-34.2,142.15,66.16,30,11.5,2,AU,1635042584
540,milyutinskaya,48.6279,41.6679,46.63,77,7.16,92,RU,1635042584
541,aquiraz,-3.9014,-38.3911,81.18,81,10.42,20,BR,1635042585
542,prince rupert,54.3161,-130.3201,46.09,76,16.11,100,CA,1635042288
543,ixtapa,20.7,-105.2,83.43,84,0.0,40,MX,1635042355
544,rocha,-34.4833,-54.3333,52.95,94,8.81,36,UY,1635042390
545,port hawkesbury,45.6169,-61.3485,61.7,99,1.99,90,CA,1635042585
546,salinas,36.6777,-121.6555,63.52,68,4.61,75,US,1635042586
547,nurota,40.5614,65.6886,46.49,35,5.14,0,UZ,1635042586
548,san isidro,-12.1167,-77.05,64.02,82,1.99,40,PE,1635042586
549,campbell river,50.0163,-125.2446,49.53,96,4.0,90,CA,1635042351
550,namibe,-15.1961,12.1522,63.77,73,6.42,99,AO,1635042315
551,carhuamayo,-10.9167,-76.0333,38.5,89,3.13,50,PE,1635042587
552,muros,42.7762,-9.0603,56.84,95,6.06,1,ES,1635042587
553,aasiaat,68.7098,-52.8699,11.91,93,3.78,69,GL,1635042587
554,great falls,47.5002,-111.3008,47.41,49,5.99,1,US,1635042321
555,dolores,-36.3132,-57.6792,49.71,65,12.24,4,AR,1635042588
556,nizhnevartovsk,60.9344,76.5531,39.22,100,8.95,40,RU,1635042588
557,suzun,53.7841,82.3116,46.44,63,16.35,100,RU,1635042588
558,jardim,-21.4803,-56.1381,75.74,79,14.12,100,BR,1635042589
559,mattru,7.6244,-11.8332,73.4,98,1.59,97,SL,1635042589
560,san marcos,33.1434,-117.1661,63.43,84,1.01,75,US,1635042419
561,vila velha,-20.3297,-40.2925,73.35,88,8.05,75,BR,1635042589
562,buchanan,5.8808,-10.0467,75.27,92,4.99,99,LR,1635042395
563,akdagmadeni,39.6603,35.8836,42.73,25,2.93,7,TR,1635042590
564,kiama,-34.6833,150.8667,73.99,59,14.16,53,AU,1635042590
565,essex,40.7834,-74.2163,56.64,76,1.99,90,US,1635042430
566,johnstown,40.3267,-78.922,47.44,88,3.44,1,US,1635042500
567,yakeshi,49.2833,120.7333,40.66,47,7.02,0,CN,1635042591
568,petrolina,-9.3986,-40.5008,79.88,69,0.74,91,BR,1635042591
569,evensk,61.95,159.2333,16.59,68,11.27,86,RU,1635042294
570,wabash,40.7978,-85.8205,53.73,76,1.99,12,US,1635042591
571,fomboni,-12.28,43.7425,79.45,79,11.61,100,KM,1635042327
572,dunedin,-45.8742,170.5036,60.8,71,7.0,87,NZ,1635042366
573,schneverdingen,53.1167,9.8,42.39,89,5.61,97,DE,1635042507
574,oistins,13.0667,-59.5333,82.49,69,20.71,20,BB,1635042592
575,daru,-9.0763,143.2092,84.2,72,13.87,99,PG,1635042592
576,cascais,38.6979,-9.4215,63.52,55,8.01,0,PT,1635042593
577,keti bandar,24.1447,67.4497,78.26,55,11.41,0,PK,1635042335
578,carlagan,14.975,122.0456,83.44,87,15.05,100,PH,1635042593
579,presidencia roque saenz pena,-26.7852,-60.4388,61.57,86,7.56,0,AR,1635042593
580,langxiang,46.95,128.8833,49.75,41,4.23,0,CN,1635042594
581,half moon bay,37.4636,-122.4286,64.87,76,4.0,90,US,1635042594
582,talara,-4.5772,-81.2719,65.34,88,15.48,91,PE,1635042594
583,nome,64.5011,-165.4064,32.07,74,4.61,1,US,1635042595
584,puerto madero,14.7208,-92.4215,77.2,100,0.0,1,MX,1635042595
585,warmbad,-28.45,18.7333,52.02,61,6.85,0,NA,1635042595
586,aykhal,66.0,111.5,24.44,93,22.91,100,RU,1635042312
587,moche,-8.1711,-79.0092,63.09,88,8.75,54,PE,1635042596
588,isabela,6.7085,121.9711,84.25,74,3.78,87,PH,1635042467
589,bubaque,11.2833,-15.8333,82.6,74,7.07,100,GW,1635042428
590,roudnice,50.1762,15.6517,39.67,93,2.3,0,CZ,1635042596
591,gwadar,25.1216,62.3254,77.36,65,1.95,0,PK,1635042597
